card_id,account_id,customer_id,card_number_masked,card_type,network,issue_date,expiry_date,credit_limit,available_limit,card_status
CARD000001,ACC000001,CUST000013,XXXX-XXXX-XXXX-2824,Debit,Visa,2020-08-14,2025-08-14,0,0.0,Active
CARD000002,ACC000001,CUST000013,XXXX-XXXX-XXXX-9935,Credit,Visa,2020-10-15,2025-10-15,100000,84375.25,Active
CARD000003,ACC000002,CUST000217,XXXX-XXXX-XXXX-1488,Debit,Visa,2021-08-11,2026-08-11,0,0.0,Active
CARD000004,ACC000003,CUST000360,XXXX-XXXX-XXXX-1434,Debit,RuPay,2022-03-01,2027-03-01,0,0.0,Active
CARD000005,ACC000003,CUST000360,XXXX-XXXX-XXXX-5557,Credit,Visa,2023-01-10,2028-01-10,500000,422845.78,Active
CARD000006,ACC000004,CUST000143,XXXX-XXXX-XXXX-7924,Debit,Mastercard,2022-10-15,2027-10-15,0,0.0,Active
CARD000007,ACC000004,CUST000143,XXXX-XXXX-XXXX-2674,Credit,Visa,2023-04-30,2028-04-30,100000,32995.08,Active
CARD000008,ACC000005,CUST000310,XXXX-XXXX-XXXX-6635,Debit,RuPay,2024-03-07,2029-03-07,0,0.0,Active
CARD000009,ACC000006,CUST000151,XXXX-XXXX-XXXX-8527,Debit,RuPay,2023-01-22,2028-01-22,0,0.0,Active
CARD000010,ACC000006,CUST000151,XXXX-XXXX-XXXX-6925,Credit,RuPay,2023-07-20,2028-07-20,500000,472419.93,Active
CARD000011,ACC000007,CUST000396,XXXX-XXXX-XXXX-1750,Debit,RuPay,2021-08-13,2026-08-13,0,0.0,Active
CARD000012,ACC000007,CUST000396,XXXX-XXXX-XXXX-2654,Credit,Mastercard,2022-01-07,2027-01-07,200000,62068.99,Active
CARD000013,ACC000008,CUST000084,XXXX-XXXX-XXXX-6977,Debit,Visa,2022-01-18,2027-01-18,0,0.0,Active
CARD000014,ACC000008,CUST000084,XXXX-XXXX-XXXX-2169,Credit,RuPay,2022-12-25,2027-12-25,100000,53087.74,Active
CARD000015,ACC000009,CUST000084,XXXX-XXXX-XXXX-5010,Debit,Visa,2021-07-05,2026-07-05,0,0.0,Active
CARD000016,ACC000009,CUST000084,XXXX-XXXX-XXXX-4598,Credit,RuPay,2022-06-10,2027-06-10,200000,61466.73,Active
CARD000017,ACC000010,CUST000017,XXXX-XXXX-XXXX-1916,Debit,Visa,2019-10-23,2024-10-23,0,0.0,Active
CARD000018,ACC000010,CUST000017,XXXX-XXXX-XXXX-4456,Credit,RuPay,2019-12-01,2024-12-01,200000,143836.93,Active
CARD000019,ACC000011,CUST000109,XXXX-XXXX-XXXX-4483,Debit,RuPay,2024-03-04,2029-03-04,0,0.0,Active
CARD000020,ACC000011,CUST000109,XXXX-XXXX-XXXX-5040,Credit,RuPay,2024-06-03,2029-06-03,500000,449994.94,Active
CARD000021,ACC000012,CUST000135,XXXX-XXXX-XXXX-8019,Debit,RuPay,2023-07-02,2028-07-02,0,0.0,Active
CARD000022,ACC000013,CUST000047,XXXX-XXXX-XXXX-3266,Debit,RuPay,2020-09-25,2025-09-25,0,0.0,Active
CARD000023,ACC000013,CUST000047,XXXX-XXXX-XXXX-3621,Credit,RuPay,2021-01-04,2026-01-04,50000,19861.4,Active
CARD000024,ACC000014,CUST000196,XXXX-XXXX-XXXX-7304,Debit,Mastercard,2021-10-28,2026-10-28,0,0.0,Active
CARD000025,ACC000014,CUST000196,XXXX-XXXX-XXXX-1188,Credit,RuPay,2022-09-04,2027-09-04,500000,314809.98,Active
CARD000026,ACC000015,CUST000350,XXXX-XXXX-XXXX-9797,Debit,Mastercard,2022-11-15,2027-11-15,0,0.0,Active
CARD000027,ACC000015,CUST000350,XXXX-XXXX-XXXX-3591,Credit,Mastercard,2023-07-04,2028-07-04,200000,184382.7,Active
CARD000028,ACC000016,CUST000370,XXXX-XXXX-XXXX-5315,Debit,RuPay,2024-09-04,2029-09-04,0,0.0,Active
CARD000029,ACC000016,CUST000370,XXXX-XXXX-XXXX-9317,Credit,RuPay,2025-02-10,2030-02-10,50000,19531.85,Active
CARD000030,ACC000017,CUST000431,XXXX-XXXX-XXXX-3646,Debit,RuPay,2020-09-29,2025-09-29,0,0.0,Blocked
CARD000031,ACC000017,CUST000431,XXXX-XXXX-XXXX-1319,Credit,Visa,2021-06-25,2026-06-25,50000,29036.94,Active
CARD000032,ACC000018,CUST000272,XXXX-XXXX-XXXX-6038,Debit,Visa,2024-07-22,2029-07-22,0,0.0,Active
CARD000033,ACC000018,CUST000272,XXXX-XXXX-XXXX-2133,Credit,RuPay,2025-03-29,2030-03-29,50000,47002.13,Active
CARD000034,ACC000019,CUST000414,XXXX-XXXX-XXXX-8787,Debit,RuPay,2019-11-23,2024-11-23,0,0.0,Active
CARD000035,ACC000019,CUST000414,XXXX-XXXX-XXXX-4295,Credit,RuPay,2020-09-20,2025-09-20,500000,162472.98,Active
CARD000036,ACC000020,CUST000273,XXXX-XXXX-XXXX-7118,Debit,Mastercard,2024-05-21,2029-05-21,0,0.0,Active
CARD000037,ACC000020,CUST000273,XXXX-XXXX-XXXX-2049,Credit,Mastercard,2024-09-22,2029-09-22,500000,457648.53,Active
