merchant_id,merchant_name,merchant_category,city,state
MER0001,Indian Oil Ltd,Fuel,Chennai,Tamil Nadu
MER0002,Swiggy Inc,Food Delivery,Bengaluru,Karnataka
MER0003,Nayara Energy Inc,Fuel,Pune,Maharashtra
MER0004,Airtel Ltd,Utilities,Mumbai,Maharashtra
MER0005,DMart LLC,Grocery,Hyderabad,Telangana
MER0006,Swiggy and Sons,Food Delivery,Kolkata,West Bengal
MER0007,Zomato and Sons,Food Delivery,Hyderabad,Telangana
MER0008,Spotify and Sons,Entertainment,Chennai,Tamil Nadu
MER0009,Reliance Fresh Ltd,Grocery,Jaipur,Rajasthan
MER0010,Reliance Digital Inc,Electronics,Bengaluru,Karnataka
MER0011,Zomato Ltd,Food Delivery,Pune,Maharashtra
MER0012,Shell Ltd,Fuel,Pune,Maharashtra
MER0013,Reliance Digital PLC,Electronics,Lucknow,Uttar Pradesh
MER0014,Amazon Inc,Shopping,New Delhi,Delhi
MER0015,IRCTC PLC,Travel,Jaipur,Rajasthan
MER0016,Nayara Energy Group,Fuel,Chennai,Tamil Nadu
MER0017,TANGEDCO Inc,Utilities,Lucknow,Uttar Pradesh
MER0018,Zomato Inc,Food Delivery,Pune,Maharashtra
MER0019,Ajio and Sons,Shopping,Ahmedabad,Gujarat
MER0020,KFC PLC,Restaurant,Ahmedabad,Gujarat
MER0021,Zomato PLC,Food Delivery,Pune,Maharashtra
MER0022,Vi Inc,Utilities,Bengaluru,Karnataka
MER0023,MakeMyTrip PLC,Travel,Bengaluru,Karnataka
MER0024,Netflix and Sons,Entertainment,Chennai,Tamil Nadu
MER0025,MakeMyTrip Ltd,Travel,Ahmedabad,Gujarat
MER0026,Reliance Digital Ltd,Electronics,Chennai,Tamil Nadu
MER0027,HP Petrol Pump PLC,Fuel,Lucknow,Uttar Pradesh
MER0028,Croma Group,Electronics,New Delhi,Delhi
MER0029,Max Hospital and Sons,Healthcare,Bengaluru,Karnataka
MER0030,Flipkart Group,Shopping,Hyderabad,Telangana
MER0031,Goibibo PLC,Travel,Lucknow,Uttar Pradesh
MER0032,Max Hospital LLC,Healthcare,Ahmedabad,Gujarat
MER0033,BookMyShow and Sons,Entertainment,Mumbai,Maharashtra
MER0034,HP Petrol Pump Ltd,Fuel,Bengaluru,Karnataka
MER0035,Apollo Pharmacy Group,Healthcare,Jaipur,Rajasthan
MER0036,Meesho LLC,Shopping,Mumbai,Maharashtra
MER0037,Nayara Energy and Sons,Fuel,Chennai,Tamil Nadu
MER0038,Croma and Sons,Electronics,Chennai,Tamil Nadu
MER0039,MedPlus LLC,Healthcare,New Delhi,Delhi
MER0040,Nature's Basket Inc,Grocery,Chennai,Tamil Nadu
MER0041,MakeMyTrip Inc,Travel,Kolkata,West Bengal
MER0042,Bharat Petroleum Group,Fuel,Kolkata,West Bengal
